CODE_EINDEUTIG,NAME,X_LV95,Y_LV95,Z,STATUS,GIN,ALARM,EINZUGSGEBIETSGROESSE,MITTLERE_HOEHE,VERGLETSCHERUNG,GEWAESSERNAME,FLUSSSYSTEM,GEWAESSERTYP,ORTSBEZEICHNUNG,ORGANISATION,LINK,URL_STATIONSSEITE,SYSTEM_U,PARAMETER_W,PARAMETER_T,PARAMETER_N,PERIODIZITAET_W,EINHEIT_W,EINHEIT_Q,PERIODIZITAET_T,EINHEIT_T,PERIODIZITAET_N,EINHEIT_N,PUBL_W,PUBL_T,PUBL_N,GUELTIG_VON_W,GUELTIG_VON_T,GUELTIG_VON_N,GUELTIG_BIS_W,GUELTIG_BIS_T,GUELTIG_BIS_N,SYSTEM_W,SYSTEM_T,URL_02_W,URL_07_W,URL_31_W,URL_91_W,URL_92_W,URL_PROVJBLJ_W,URL_PROVJBVJ_W,URL_JB_W,URL_02_T,URL_07_T,URL_31_T,URL_91_T,URL_92_T,URL_PROVJBLJ_T,URL_PROVJBVJ_T,URL_JB_T,URL_02_N,URL_07_N,URL_31_N,URL_91_N,URL_92_N,URL_PROVJBLJ_N,URL_PROVJBVJ_N,URL_JB_N,ORGANISATION_SYMB,PARAMETER_W_SYMB,PARAMETER_T_SYMB,PARAMETER_N_SYMB,SYMBOL,E,N
ZH 570,Töss - Freienstein-Teufen,2686002,1264987,360,in Betrieb,,,403.7045446,626.0693387,0.0%,Töss,Töss,Fliessgewässer,Freienstein-Teufen,AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,5,,m3/s,15,°C,,,,,,19850101,19930101,,,,,Einperlung,pt100,http://www.hw.zh.ch/hochwasser/mac/aaw/05188.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05186.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05187.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05384.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/0885.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05174.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05175.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05176.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0875.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,1,1,0,3,2686002,1264987
ZH 572,Reppisch - Dietikon,2672445,1251580,380,in Betrieb,,,68.64131134,597.0302791,0.0%,Reppisch,Limmat,Fliessgewässer,Dietikon,AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,5,,m3/s,15,°C,,,,,,19860101,19860101,,,,,Einperlung,pt100,http://www.hw.zh.ch/hochwasser/mac/aaw/0589.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0588.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/0587.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05385.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08142.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/0592.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/0591.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/0590.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0871.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,1,1,0,3,2672445,1251580
ZH 574Q,Jonen - Zwillikon,2675113,1238205,460,in Betrieb,,,37.41319847,601.4194185,0.0%,Jonen,Reuss,Fliessgewässer,Affoltern am Albis,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,m3/s,,,,,,,,19870101,,,,,,Einperlung,pt100,http://www.hw.zh.ch/hochwasser/mac/aaw/05227.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05228.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05229.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05386.PDF?zst=15502227,,http://www.hw.zh.ch/hochwasser/mac/aaw/08140.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2675113,1238205
ZH 574T,Jonen - Zwillikon,2675079,1238456,460,in Betrieb,,,37.41319847,601.4194185,0.0%,Jonen,Reuss,Fliessgewässer,Affoltern am Albis,AWEL,www.hydrometrie.zh.ch,,,,Temperatur,,,,,15,°C,,,,,,,20020101,,,,,Einperlung,pt100,,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/at/05230.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05231.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05232.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/08289.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,0,1,0,8,2675079,1238456
ZH 575,Näfbach - Neftenbach,2691678,1264223,394,in Betrieb,,,36.16947901,463.7864353,0.0%,Näfbach,Töss,Fliessgewässer,Neftenbach,AWEL,www.hydrometrie.zh.ch,,Solar,Abfluss,,,5,,m3/s,,,,,,,,19920101,,,,,,Einperlung,,http://www.hw.zh.ch/hochwasser/mac/aaw/05657.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05656.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05658.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08328.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2691678,1264223
ZH 576,"Geisslibach - Furtmüli, Basadingen-Schlattingen (TG)",2700400,1278745,415,in Betrieb,,,21.07999596,471.0833917,0.0%,Geisslibach,Rhein,Fliessgewässer,Basadingen-Schlattingen (TG),AWEL,www.hydrometrie.zh.ch,,,Abfluss,Temperatur,,5,,l/s,15,°C,,,,,,19900101,20060101,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05624.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05625.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05626.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08329.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,http://www.hw.zh.ch/hochwasser/mac/at/05814.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05813.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05815.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0817.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,1,1,0,3,2700400,1278745
ZH 577,"Sihl - Sihlhölzli, Zürich",2682202,1246948,413,in Betrieb,,,343,1045,0.0%,Sihl,Sihl,Fliessgewässer,Zürich,AWEL,www.hydrometrie.zh.ch,,,,Temperatur,,,,,10,°C,,,,,,,19860101,,,,,,pt100,,,,,,,,,https://www.hw.zh.ch/hochwasser/mac/at/05134.PDF?zst=22438342,https://www.hw.zh.ch/hochwasser/mac/at/05133.PDF?zst=22438342,https://www.hw.zh.ch/hochwasser/mac/at/05132.PDF?zst=22438342,,,http://www.hw.zh.ch/hochwasser/mac/at/08246.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,0,1,0,8,2682202,1246948
ZH 578,"Limmat - Letten, Zürich",2682502,1249129,406,in Betrieb,,,2176,572.1834196,0.0%,Limmat,Limmat,Fliessgewässer,Zürich,AWEL,www.hydrometrie.zh.ch,,,,Temperatur,,,,,10,°C,,,,,,,19890101,,,,,,pt100,,,,,,,,,http://www.hw.zh.ch/hochwasser/mac/at/05243.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05244.PDF?zst=15843166,http://www.hw.zh.ch/hochwasser/mac/at/05245.PDF?zst=15843166,,,http://www.hw.zh.ch/hochwasser/mac/at/0851.PDF?zst=15843166,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/wassertemperaturen.html#1855350435,,,,,,,,,1,0,1,0,8,2682502,1249129
ZH 578L,Limmattalalarm,2682502,1249129,406,,,ja,,,,,,,,AWEL,www.hochwasser.zh.ch,,,Abfluss,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,1,0,0,1,2682502,1249129
ZH 579,Schwarzenbach - Rickenbach,2703192,1268106,410,in Betrieb,,,15.20226772,454.6059834,0.0%,Schwarzbach,Thur,Fliessgewässer,Rickenbach,AWEL,www.hydrometrie.zh.ch,,,Abfluss,,,5,,l/s,,,,,,,,19920101,,,,,,Sonde,,http://www.hw.zh.ch/hochwasser/mac/aaw/05627.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05628.PDF?zst=15502227,http://www.hw.zh.ch/hochwasser/mac/aaw/05629.PDF?zst=15502227,,,http://www.hw.zh.ch/hochwasser/mac/aaw/08347.PDF?zst=15502227,,https://www.zh.ch/de/umwelt-tiere/wasser-gewaesser/messdaten/abfluss-wasserstand.html#-1478025821,,,,,,,,,,,,,,,,,1,1,0,0,1,2703192,1268106
