gewaesser;X_LV95;Y_LV95;Z;STATUS;GIN;ALARM;EINZUGSGEBIETSGROESSE;MITTLERE_HOEHE;VERGLETSCHERUNG;GEWAESSERNAME;FLUSSSYSTEM;GEWAESSERTYP;ORTSBEZEICHNUNG;ORGANISATION;PARAMETER_W;PARAMETER_T;PARAMETER_N;PERIODIZITAET_W;EINHEIT_W;EINHEIT_Q;PERIODIZITAET_T;EINHEIT_T;GUELTIG_VON_W;GUELTIG_VON_T;SYSTEM_W;E;N
Aabach-Mönchaltorf;2696925;1240805;440;in Betrieb;;;44.17225332;519.0025561;0.00%;Aabach;Glatt;Fliessgewässer;Mönchaltdorf;AWEL;Abfluss;Temperatur;Niederschlag;5;;m3/s;15;°C;19800101;19850101;Einperlung;2696925;1240805
Aabach-Niederuster;2695102;1244724;440;in Betrieb;;;61.93644141;624.5535776;0.00%;Aabach;Glatt;Fliessgewässer;Uster;AWEL;Abfluss;Temperatur;;5;;m3/s;15;°C;19800101;19860101;Einperlung;2695102;1244724
Eulach-Winterthur;2697551;1261246;440;in Betrieb;;;64.76844593;544.0100265;0.00%;Eulach;Töss;Fliessgewässer;Winterthur;AWEL;Abfluss;Temperatur;;5;;m3/s;15;°C;19650101;19930101;Sonde;2697551;1261246
Eulach-Wülflingen;2694127;1262816;410;in Betrieb;;;74.63049958;533.8013512;0.00%;Eulach;Töss;Fliessgewässer;Winterthur;AWEL;Abfluss;Temperatur;;5;;m3/s;15;°C;19710101;20020101;;2694127;1262816
Furtbach-Würenlos;2669908;1255287;410;in Betrieb;;;44.54081048;482.2242142;0.00%;Furtbach;Limmat;Fliessgewässer;Würenlos (AG);AWEL;Abfluss;Temperatur;;10;;l/s;15;°C;19780101;19990101;Einperlung;2669908;1255287
Geisslibach-Furtmüli;2700400;1278745;415;in Betrieb;;;21.07999596;471.0833917;0.00%;Geisslibach;Rhein;Fliessgewässer;Basadingen-Schlattingen (TG);AWEL;Abfluss;Temperatur;;5;;l/s;15;°C;19900101;20060101;Sonde;2700400;1278745
Glatt-Dübendorf;2689403;1250282;430;in Betrieb;;;188.1535647;545.131787;0.00%;Glatt;Glatt;Fliessgewässer;Dübendorf;AWEL;Abfluss;Temperatur;;5;;m3/s;15;°C;19700101;20030101;Sonde;2689403;1250282
Glatt-Rheinsfelden (BAFU);2678040;1269720;336;in Betrieb;;;417;503;0.00%;Glatt;Glatt;Fliessgewässer;;BAFU;Abfluss;Temperatur;;;;;;;;;;2678041.102;1269719.969
Glatt-Rümlang;2682864;1256548;420;in Betrieb;;;276.4625354;522.2135548;0.00%;Glatt;Glatt;Fliessgewässer;Rümlang;AWEL;Wasserstand;Temperatur;;10;müM;;15;°C;19600101;19990101;Schwimmer / Sonde;2682864;1256548
Glatt-Wuhrbrücke;2691879;1247629;440;in Betrieb;;;164.9255538;552.7133206;0.00%;Glatt;Glatt;Fliessgewässer;Fällanden;AWEL;Abfluss;Temperatur;;10;;m3/s;15;°C;19770101;19840101;Sonde;2691879;1247629
