Gewässer,Messeinheit,Datum,Aktueller_Wert,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
Aabach-Mönchaltorf,°C,15:0030.05.2022,15.7,15.1,0.62,14.2,15.7,12.6
Aabach-Niederuster,°C,15:0030.05.2022,17.0,16.5,0.50,15.9,17.2,14.3
Eulach-Winterthur,°C,15:1530.05.2022,15.6,14.6,0.98,13.4,15.6,11.7
Eulach-Wülflingen,°C,15:0030.05.2022,14.8,14.6,0.21,13.8,15.0,0.0
Furtbach-Würenlos,°C,15:0030.05.2022,16.7,16.5,0.23,15.7,17.3,14.1
Geisslibach-Furtmüli,°C,13:0030.05.2022,15.1,13.9,1.17,12.8,15.1,11.1
Glatt-Dübendorf,°C,15:0030.05.2022,20.6,20.2,0.45,19.0,20.6,17.6
Glatt-Rheinsfelden (BAFU),°C,15:1030.05.2022,18.8,17.5,1.23,16.8,18.8,14.7
Glatt-Rümlang,°C,15:0030.05.2022,18.4,18.2,0.22,18.0,19.1,16.6
Glatt-Wuhrbrücke,°C,13:0030.05.2022,20.03,20.44,-0.410,19.77,20.50,19.21
Jona-Rüti,°C,15:0030.05.2022,15.8,15.9,-0.09,14.5,15.9,13.1
Jonen-Zwillikon,°C,15:0030.05.2022,16.1,15.5,0.59,14.5,16.1,12.9
Kempt-Illnau,°C,14:0030.05.2022,15.7,14.8,0.94,13.2,15.7,11.5
Kempt-Winterthur,°C,15:0030.05.2022,15.0,14.5,0.45,13.5,15.5,11.8
Limmatkanal-KW Dietikon,°C,15:0030.05.2022,18.0,18.2,-0.22,16.6,18.2,15.2
Limmat-Zch. KW Letten,°C,15:0030.05.2022,17.6,17.0,0.68,16.1,17.6,0.0
Reppisch-Dietikon,°C,15:0030.05.2022,18.0,17.5,0.53,15.4,18.0,13.1
Rhein Rüdlingen,°C,15:0030.05.2022,18.72,18.37,0.350,18.20,18.93,17.34
Sihl-Blattwag,°C,15:0030.05.2022,13.9,14.1,-0.28,14.0,14.6,12.7
Sihl-Zch.Sihlhölzli (BAFU),°C,15:0030.05.2022,17.0,16.6,0.39,15.8,17.6,13.8
Töss-Freienstein,°C,15:0030.05.2022,17.0,16.2,0.77,15.5,17.6,13.8
Töss-Rämismühle,°C,15:1530.05.2022,15.0,13.7,1.30,12.0,15.0,9.6
Türlersee,°C,13:0030.05.2022,18.2,19.2,-1.00,18.9,19.5,18.2
Zürichsee-Oberrieden,°C,15:0030.05.2022,20.3,20.2,0.12,19.6,20.3,19.0
