Datum,Gewässer,Messeinheit,Aktueller_Wert,24h_vorher,Differenz,Mittel_24h,Maximum_24h,Minimum_24h
07:3031.05.2022,Aabach-Mönchaltorf,°C,13.5,12.7,0.89,14.8,16.5,12.6
07:0031.05.2022,Aabach-Niederuster,°C,15.9,14.5,1.44,16.8,18.6,14.3
07:4531.05.2022,Eulach-Winterthur,°C,12.4,11.7,0.69,13.8,16.2,0.0
07:3031.05.2022,Eulach-Wülflingen,°C,13.5,12.7,0.83,14.2,15.1,12.6
07:3031.05.2022,Furtbach-Würenlos,°C,15.0,14.2,0.80,16.1,18.0,14.1
13:0030.05.2022,Geisslibach-Furtmüli,°C,15.1,13.9,1.17,12.8,15.1,11.1
07:3031.05.2022,Glatt-Dübendorf,°C,18.5,17.6,0.87,19.4,20.9,17.6
07:5031.05.2022,Glatt-Rheinsfelden (BAFU),°C,15.4,14.7,0.69,17.3,19.3,14.7
07:3031.05.2022,Glatt-Rümlang,°C,17.7,16.8,0.91,18.4,19.9,16.6
13:0030.05.2022,Glatt-Wuhrbrücke,°C,20.03,20.44,-0.410,19.77,20.50,19.21
07:4531.05.2022,Jona-Rüti,°C,14.2,13.5,0.77,15.0,16.4,13.6
07:4531.05.2022,Jonen-Zwillikon,°C,14.3,13.6,0.65,15.0,16.2,13.7
07:0031.05.2022,Kempt-Illnau,°C,12.1,11.5,0.64,13.7,16.0,11.5
07:0031.05.2022,Kempt-Winterthur,°C,12.7,11.9,0.77,13.9,16.4,11.8
07:3031.05.2022,Limmatkanal-KW Dietikon,°C,17.8,15.5,2.30,17.7,18.7,15.5
07:4031.05.2022,Limmat-Zch. KW Letten,°C,17.9,16.7,1.20,17.6,18.3,0.0
07:4531.05.2022,Reppisch-Dietikon,°C,14.1,13.1,1.05,15.8,18.4,13.1
07:3031.05.2022,Rhein Rüdlingen,°C,17.80,17.42,0.380,18.58,19.36,17.34
07:3031.05.2022,Sihl-Blattwag,°C,12.9,13.3,-0.44,13.7,14.5,12.7
07:5031.05.2022,Sihl-Zch.Sihlhölzli (BAFU),°C,15.5,13.9,1.59,16.7,18.8,13.8
07:0031.05.2022,Töss-Freienstein,°C,14.4,13.9,0.49,15.8,17.9,13.8
07:4531.05.2022,Töss-Rämismühle,°C,10.2,9.6,0.54,12.5,15.4,0.0
13:0030.05.2022,Türlersee,°C,18.2,19.2,-1.00,18.9,19.5,18.2
07:3031.05.2022,Zürichsee-Oberrieden,°C,19.1,19.0,0.10,19.5,20.7,0.0
